净值日期,单位净值,日增长率
2013-08-02,1.0,0.0
2013-08-09,1.001,0.1
2013-08-16,1.001,0.0
2013-08-23,1.002,0.0999
2013-08-26,1.002,0.0
2013-08-27,1.0,-0.1996
2013-08-28,1.001,0.1
2013-08-29,1.002,0.0999
2013-08-30,1.001,-0.0998
2013-09-02,1.001,0.0
2013-09-03,1.002,0.0999
2013-09-04,1.005,0.2994
2013-09-05,1.005,0.0
2013-09-06,1.005,0.0
2013-09-09,1.007,0.199
2013-09-10,1.009,0.1986
2013-09-11,1.009,0.0
2013-09-12,1.008,-0.0991
2013-09-13,1.009,0.0992
2013-09-16,1.01,0.0991
2013-09-17,1.014,0.396
2013-09-18,1.019,0.4931
2013-09-23,1.017,-0.1963
2013-09-24,1.017,0.0
2013-09-25,1.017,0.0
2013-09-26,1.021,0.3933
2013-09-27,1.021,0.0
2013-09-30,1.019,-0.1959
2013-10-08,1.004,-1.472
2013-10-09,1.001,-0.2988
2013-10-10,1.014,1.2987
2013-10-11,1.02,0.5917
2013-10-14,1.025,0.4902
2013-10-15,1.022,-0.2927
2013-10-16,1.031,0.8806
2013-10-17,1.037,0.582
2013-10-18,1.044,0.675
2013-10-21,1.044,0.0
2013-10-22,1.047,0.2874
2013-10-23,1.037,-0.9551
2013-10-24,1.042,0.4822
2013-10-25,1.049,0.6718
2013-10-28,1.047,-0.1907
2013-10-29,1.049,0.191
2013-10-30,1.047,-0.1907
2013-10-31,1.044,-0.2865
2013-11-01,1.044,0.0
2013-11-04,1.048,0.3831
2013-11-05,1.05,0.1908
2013-11-06,1.047,-0.2857
2013-11-07,1.026,-2.0057
2013-11-08,1.037,1.0721
2013-11-11,1.036,-0.0964
2013-11-12,1.036,0.0
2013-11-13,1.047,1.0618
2013-11-14,1.047,0.0
2013-11-15,1.049,0.191
2013-11-18,1.037,-1.1439
2013-11-19,1.036,-0.0964
2013-11-20,1.032,-0.3861
2013-11-21,1.042,0.969
2013-11-22,1.048,0.5758
2013-11-25,1.048,0.0
2013-11-26,1.053,0.4771
2013-11-27,1.06,0.6648
2013-11-28,1.059,-0.0943
2013-11-29,1.065,0.5666
2013-12-02,1.063,-0.1878
2013-12-03,1.063,0.0
2013-12-04,1.062,-0.0941
2013-12-05,1.06,-0.1883
2013-12-06,1.067,0.6604
2013-12-09,1.067,0.0
2013-12-10,1.065,-0.1874
2013-12-11,1.05,-1.4085
2013-12-12,1.047,-0.2857
2013-12-13,1.046,-0.0955
2013-12-16,1.051,0.478
2013-12-17,1.048,-0.2854
2013-12-18,1.06,1.145
2013-12-19,1.057,-0.283
2013-12-20,1.067,0.9461
2013-12-23,1.077,0.9372
2013-12-24,1.077,0.0
2013-12-25,1.078,0.0929
2013-12-26,1.081,0.2783
2013-12-27,1.076,-0.4625
2013-12-30,1.074,-0.1859
2013-12-31,1.078,0.3724
2014-01-02,1.071,-0.6494
2014-01-03,1.065,-0.5602
2014-01-06,1.062,-0.2817
2014-01-07,1.07,0.7533
2014-01-08,1.073,0.2804
2014-01-09,1.07,-0.2796
2014-01-10,1.071,0.0935
2014-01-13,1.058,-1.2138
2014-01-14,1.074,1.5123
2014-01-15,1.082,0.7449
2014-01-16,1.083,0.0924
2014-01-17,1.077,-0.554
2014-01-20,1.078,0.0929
2014-01-21,1.084,0.5566
2014-01-22,1.087,0.2768
2014-01-23,1.084,-0.276
2014-01-24,1.068,-1.476
2014-01-27,1.06,-0.7491
2014-01-28,1.058,-0.1887
2014-01-29,1.049,-0.8507
2014-01-30,1.065,1.5253
2014-02-07,1.071,0.5634
2014-02-10,1.075,0.3735
2014-02-11,1.084,0.8372
2014-02-12,1.086,0.1845
2014-02-13,1.094,0.7366
2014-02-14,1.095,0.0914
