date,open,close,high,low,volume
2001-01-31,46.144,50.667,54.466,41.101,1080161400
2001-02-28,50.864,37.39,51.7,36.925,1003485100
2001-03-30,37.012,30.85,45.112,29.943,1402084800
2001-04-30,30.865,36.366,40.187,26.476,1402966800
2001-05-31,36.405,35.247,40.936,34.719,1377556000
2001-06-29,35.885,36.011,38.997,32.386,1337427700
2001-07-31,35.972,32.906,36.626,30.976,1159939200
2001-08-31,33.6,28.864,34.671,28.17,1293413600
2001-09-28,28.777,22.836,29.549,21.433,1080420600
2001-10-31,22.733,26.713,29.203,21.945,1323239000
2001-11-30,27.138,31.244,32.284,26.618,1386505600
2001-12-31,30.96,30.661,34.277,30.267,1153870700
2002-01-31,31.181,30.345,33.568,29.037,1440783300
2002-02-28,30.259,26.618,30.865,26.074,1344747900
2002-03-28,26.91,28.415,30.881,25.799,1429040100
2002-04-30,28.21,25.003,29.077,24.089,1695431200
2002-05-31,24.955,23.671,26.571,18.502,1371455600
2002-06-28,23.647,20.566,23.837,19.219,1350241200
2002-07-31,20.472,18.793,21.079,16.28,1095132400
2002-08-30,18.707,18.51,20.653,16.784,1387141900
2002-09-30,18.045,16.327,19.187,16.146,1501079800
2002-10-31,16.548,19.345,19.802,15.571,1544059500
2002-11-29,19.203,21.748,22.292,19.022,1214020000
2002-12-31,22.308,19.203,22.686,18.313,1244109200
2003-01-31,19.495,19.258,21.67,18.652,1287833300
2003-02-28,19.432,19.826,20.267,18.376,1225889100
2003-03-31,19.928,19.897,21.575,18.399,1404591000
2003-04-30,20.046,21.63,22.111,19.826,1357246000
2003-05-30,21.583,23.474,23.537,21.425,1383444200
2003-06-30,23.655,23.6,24.798,22.584,1632091100
2003-07-31,23.506,25.058,25.996,23.056,1441778100
2003-08-29,25.089,26.311,26.366,23.584,1356116400
2003-09-30,26.484,25.546,27.469,24.018,1238000400
2003-10-31,25.712,27.721,28.367,25.546,1522872700
2003-11-28,27.887,27.895,28.572,25.94,1139752400
2003-12-31,28.131,28.741,31.07,26.894,1292978200
2004-01-30,28.851,29.222,30.743,28.244,1284668700
2004-02-27,29.324,28.812,31.216,28.299,1173339000
2004-03-31,28.906,28.252,29.308,26.81,1037789500
2004-04-30,28.173,27.409,30.176,26.841,1130120500
2004-05-28,27.59,28.812,28.812,25.414,1061040100
2004-06-30,28.591,29.781,29.876,28.236,1555694900
2004-07-30,29.687,27.535,30.152,26.565,885167600
2004-08-31,27.283,26.833,27.968,25.501,1347478200
2004-09-30,26.746,27.7,28.26,26.644,1393666200
2004-10-29,27.945,29.056,30.349,27.306,892285400
2004-11-30,29.143,30.861,31.248,29.009,1322448500
2004-12-31,31.484,31.769,32.067,29.613,1370404600
2005-01-31,31.905,29.764,32.064,29.016,2234773200
2005-02-28,29.835,29.621,30.623,29.207,1765610600
2005-03-31,29.74,29.103,30.472,28.602,2133973700
2005-04-29,29.302,27.838,29.501,27.337,2345433600
2005-05-31,27.933,30.305,30.456,27.766,1881340000
2005-06-30,30.265,29.297,30.783,29.234,1943627500
2005-07-29,29.361,31.528,31.799,29.114,1620613000
2005-08-31,31.575,31.05,31.974,30.476,1714890300
